Email,Lead Status,First Name,Last Name,Email Provider,Assignee Email,Assignee Name,Verification Status,Interest Status,Last contacted from,AIEmail,summary,headline,industry,jobLevel,jobTitle,linkedIn,location,department,companyName,subIndustry,companyDomain,companyWebsite,Casual_Company,Personalized_Hook
,New,,,,,,,,,,,,Real Estate,,,,"Bowling Green, KY",,Bowling Green Realty,,,https://bgrealtygroup.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Bowling Green, KY",,The Win Crew,,,https://thewincrew.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Bowling Green, KY",,Hunt Real Estate Group,,,https://huntsells.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Bowling Green, KY",,Neal Turner Realty,,,https://ntrcommercial.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Louisville, KY",,John Nitzken REALTORS,,,https://nitzken.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Louisville, KY",,Realty Pros Of Kentuckiana,,,https://realtyprosofkentuckiana.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Louisville, KY",,The Agency Louisville,,,https://theagencylouisville.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Louisville, KY",,Green Team Real Estate Services,,,https://greenteamres.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Lexington, KY",,Lifstyl Real Estate,,,https://lifstylrealestate.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Lexington, KY",,de Movellan Properties,,,https://demovellan.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Lexington, KY",,The Layton Group,,,https://thelaytongroup.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Lexington, KY",,Nick Ratliff Realty Team,,,https://nickratliff.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Cincinnati, OH",,Sibcy Cline REALTORS,,,https://sibcycline.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Cincinnati, OH",,Comey & Shepherd Realtors,,,https://comey.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Cincinnati, OH",,Edge Real Estate Group,,,https://edgegp.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Cincinnati, OH",,The Everest Group,,,https://everestrealestate.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Dayton, OH",,Tami Holmes Realty,,,https://tamiholmes.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Dayton, OH",,Independence Realty Group,,,https://irgohio.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Dayton, OH",,Glasshouse Realty Group,,,https://glasshouserealty.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Columbus, OH",,NAI Ohio Equities,,,https://ohioequities.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Knoxville, TN",,Slyman Real Estate,,,https://slymanrealestate.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Knoxville, TN",,Honors Real Estate Services,,,https://honorsproperties.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Knoxville, TN",,Wallace Real Estate,,,https://wallacetn.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Knoxville, TN",,Southland Realtors,,,https://southlandrealtors.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Knoxville, TN",,The Real Estate Firm,,,https://treftn.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Chattanooga, TN",,Real Estate Partners Chattanooga LLC,,,https://homesrep.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Chattanooga, TN",,Fletcher Bright Realty,,,https://fletcherbright.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Chattanooga, TN",,Grace Frank Group,,,https://gracefrankgroup.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Asheville, NC",,Nest Realty,,,https://nestrealty.com/asheville/,,
,New,,,,,,,,,,,,Real Estate,,,,"Asheville, NC",,Asheville Realty Group,,,https://ashevillerealtygroup.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Charleston, WV",,Runyan & Associates REALTORS,,,https://runyanandassociates.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Charleston, WV",,OLD COLONY REALTORS,,,https://oldcolony.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Charleston, WV",,Realty Exchange,,,https://realty-exchange.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Charleston, WV",,Real Estate Central LLC,,,https://realestatecentral.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Johnson City, TN",,Red Door Agency LLC,,,https://reddooragency.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Johnson City, TN",,True North Real Estate Advisors,,,https://truenorthrealestateadvisors.com/,,
,New,,,,,,,,,,,,Real Estate,,,,"Johnson City, TN",,Bridge Pointe Real Estate,,,https://bridgepointerealestate.com/,,
